"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"7425",2343.29998024699,2.50727810517776,0.978068108937181,9.94935874747355e-09,0.00016063239697796,"VGF","VGF nerve growth factor inducible"
"338094",66.1888100847435,4.04027694338994,0.788586450040092,3.61195028970467e-08,0.000291574687136409,"FAM151A","family with sequence similarity 151 member A"
"5026",99.9220221163488,3.33631525090712,0.679465031553925,9.39661876961162e-08,0.000384646636790452,"P2RX5","purinergic receptor P2X 5"
"2208",133.470501080786,4.08950660828913,0.871118178048797,3.26159106752699e-07,0.000877639796420387,"FCER2","Fc epsilon receptor II"
"390595",114.945996471073,2.4094020930001,0.584624673986133,2.92889351458551e-06,0.0047286985792983,"UBAP1L","ubiquitin associated protein 1 like"
"574028",89.9103949742734,3.53314613695152,0.850421374022932,3.27769823702992e-06,0.00481076709425891,"CLLU1","chronic lymphocytic leukemia up-regulated 1"
"26051",1180.32941573186,1.8583612707983,0.468346996213475,4.88573686885462e-06,0.00657335181230482,"PPP1R16B","protein phosphatase 1 regulatory subunit 16B"
"54112",26.2214454139808,3.39582369135101,0.650712573911711,6.28785848871738e-06,0.00676783168668947,"GPR88","G protein-coupled receptor 88"
"651746",264.901706095952,1.84869436597807,0.472883076017455,6.13500854486857e-06,0.00676783168668947,"ANKRD33B","ankyrin repeat domain 33B"
"6689",396.277757442974,3.40311417959142,0.888126376215615,1.22991910465961e-05,0.0110316910804052,"SPIB","Spi-B transcription factor"
"84765",497.000021097643,-1.32415874900476,0.405009900514411,2.39225856599638e-05,0.0183919116895293,"ZNF577","zinc finger protein 577"
"1071",422.847428962372,2.27361704753736,0.639235626580462,2.66363464902643e-05,0.0190548654954756,"CETP","cholesteryl ester transfer protein"
"2811",108.482535358949,2.24186214738453,0.630837378980069,2.73340452185287e-05,0.0190548654954756,"GP1BA","glycoprotein Ib platelet subunit alpha"
"4033",783.571905691612,2.01456010486145,0.592377144640364,4.41324167373243e-05,0.0274045333932346,"IRAG2","inositol 1,4,5-triphosphate receptor associated 2"
"10472",1000.87010594079,1.01184645257758,0.31380463908341,6.19394353005523e-05,0.037037488256571,"ZBTB18","zinc finger and BTB domain containing 18"
"383",87.0080746112867,1.97343774925395,1.26263454953481,7.80484592945853e-05,0.0429846433065939,"ARG1","arginase 1"
"8526",322.031530740787,1.27084495282074,0.398921358918607,7.51557544552509e-05,0.0429846433065939,"DGKE","diacylglycerol kinase epsilon"
"115352",240.581496176588,2.73640714575038,0.83843885591184,8.3509314598225e-05,0.0433810914217638,"FCRL3","Fc receptor like 3"
"4753",474.976795077813,1.77827075121472,0.559870205152554,8.86699298184084e-05,0.0433810914217638,"NELL2","neural EGFL like 2"
