"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","DEG_status","gene_label"
"57801",80.6468929859886,-0.0218382304742952,0.0708235274601387,0.000130736682235007,0.0560216228693523,"HES4","hes family bHLH transcription factor 4","Not_significant","HES4"
"762",39.5578338948132,-0.00396785301626196,0.0653650569586532,0.000137687771089342,0.0560216228693523,"CA4","carbonic anhydrase 4","Not_significant","CA4"
"728833",57.3272366965471,1.33010438431175,0.446439410047137,0.000146987266922444,0.0578807176698257,"FAM72D","family with sequence similarity 72 member D","Not_significant","FAM72D"
"221416",22.2442895953269,-0.0131419567011405,0.0673501098574809,0.000164402403953682,0.0617273677170279,"LINC03040","long intergenic non-protein coding RNA 3040","Not_significant","LINC03040"
"4648",84.7782068280293,0.0134971727179423,0.0671377579623079,0.000164015905528317,0.0617273677170279,"MYO7B","myosin VIIB","Not_significant","MYO7B"
"3848",576.931859977537,-0.00429549191961002,0.0656303229859745,0.000169908526341706,0.0623448444951554,"KRT1","keratin 1","Not_significant","KRT1"
"10216",613.027477816865,4.57370759706041,0.854522978121811,0.000176487685859711,0.0633198597378897,"PRG4","proteoglycan 4","Not_significant","PRG4"
"8277",220.80886900319,-0.0121192151293058,0.0670571840614436,0.000183520729604983,0.0644117865102707,"TKTL1","transketolase like 1","Not_significant","TKTL1"
"5079",52.6537575777642,5.42724215991085,1.03787386403404,0.000192155118622984,0.0660073274503847,"PAX5","paired box 5","Not_significant","PAX5"
"1236",468.711835704,2.64518400427129,0.89148104548703,0.000211173231388584,0.0710289962660145,"CCR7","C-C motif chemokine receptor 7","Not_significant","CCR7"
"10391",1807.1162464529,-0.0188897624836514,0.0693935589379516,0.000252908111494664,0.0833306420424765,"CORO2B","coronin 2B","Not_significant","CORO2B"
"124152",1061.18594164646,-0.0422979351212224,0.0871736841061626,0.000288190808470119,0.0852697597368011,"IQCK","IQ motif containing K","Not_significant","IQCK"
"163175",805.610857467938,-0.0137199154252494,0.0675160745067963,0.000265325860098227,0.0852697597368011,"LGI4","leucine rich repeat LGI family member 4","Not_significant","LGI4"
"170679",19.4904118085679,-0.0141910153425381,0.0676593483727943,0.000322171281755644,0.0852697597368011,"PSORS1C1","psoriasis susceptibility 1 candidate 1","Not_significant","PSORS1C1"
"201163",1217.08952688676,-0.480912687531761,0.188025827320393,0.000313908811608224,0.0852697597368011,"FLCN","folliculin","Not_significant","FLCN"
