"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04668","TNF signaling pathway",115,0.398523394314672,1.87237642561203,6.32463675289021e-06,7.1257574082563e-05,5.28162648136095e-05,3333,"tags=37%, list=20%, signal=29%","6364/3569/4049/7128/79651/7412/330/3659/10059/1540/4790/23118/7124/9020/5293/6352/8517/6885/4217/7187/602/3627/5295/6868/7133/4792/9252/8809/7424/841/5601/1147/8837/843/6374/5604/7188/7186/7132/5970/836/3383"
"hsa05330","Allograft rejection",32,0.62999645972921,2.30129651761729,7.53390964226573e-06,8.16087474929746e-05,6.0488576466297e-05,4326,"tags=75%, list=26%, signal=56%","3112/3111/940/959/7124/958/3118/3113/356/5551/3592/3122/3458/3119/941/3133/3127/3107/3109/942/3115/3108/3117/3002"
"hsa05140","Leishmaniasis",73,0.46875345664295,2.01394555060337,8.16874182163288e-06,8.16087474929746e-05,6.0488576466297e-05,4930,"tags=59%, list=29%, signal=42%","3112/3111/1378/3716/4790/5777/653361/23118/7124/6885/2002/4843/3676/5579/1536/3118/3113/2215/4792/3592/6772/3122/1379/3458/3459/3119/5970/2214/3717/3689/3127/51135/3109/3115/3108/3117/5600/718/7097/3552/3123/7040/3688"
"hsa05135","Yersinia infection",133,0.392117370958678,1.88810962771632,8.20916394899744e-06,8.16087474929746e-05,6.0488576466297e-05,3286,"tags=35%, list=20%, signal=29%","3569/3932/3984/2185/926/5880/27040/4790/7456/23118/925/81873/7124/4775/5293/7409/8517/1399/6885/29110/3676/114548/7454/7535/9844/5295/10097/2335/9138/6196/2533/64283/4792/6195/3937/5601/1147/5604/382/10451/7186/5970/8394/644150/653857/8935/7410"
"hsa04611","Platelet activation",115,0.396326873755609,1.86205654634814,7.84632797335115e-06,8.16087474929746e-05,6.0488576466297e-05,2569,"tags=29%, list=15%, signal=24%","2811/111/5336/64805/9002/5567/3708/10125/5294/2983/6786/5908/11093/5293/6915/4067/7450/2149/23236/5739/2814/2977/5295/6850/9138/54518/7094/695/2778/3937/2534/113/10235"
"hsa05320","Autoimmune thyroid disease",33,0.611765640131061,2.2532886352023,9.75216185951573e-06,9.41780202433233e-05,6.980494804706e-05,4861,"tags=76%, list=29%, signal=54%","3112/3111/940/959/958/3118/3113/356/5551/3122/3119/941/3133/1493/3127/3107/3109/942/7253/3115/3108/3117/3002/3106/3123"
"hsa04940","Type I diabetes mellitus",38,0.583167207826088,2.24309497090768,1.17298495117867e-05,0.000110130253749553,8.16287773042464e-05,4861,"tags=74%, list=29%, signal=52%","4049/3112/3111/940/7124/3118/3113/356/5551/3592/3122/3458/5799/3119/941/3133/3382/3127/3107/3109/942/3115/3108/3117/3002/3552/3106/3123"
"hsa05145","Toxoplasmosis",108,0.405926108098491,1.89495373890457,2.37317265776889e-05,0.000216792529277266,0.000160687081806258,5123,"tags=55%, list=30%, signal=38%","3112/4261/3111/959/3716/330/5294/6774/8651/4790/23118/7124/8517/6885/958/4843/3118/3113/3587/4792/3592/1234/6772/3908/3122/3458/841/5601/1147/3459/3119/7132/5970/836/3717/3127/23533/51135/3109/5608/2770/3115/3108/3912/2771/3117/5600/5599/7097/842/3305/2775/3123/7040/10000/3688/54205/240/5170"
"hsa04672","Intestinal immune network for IgA production",39,0.553830504438144,2.14631040181013,3.11903439592044e-05,0.000270477170320812,0.00020047825143679,4322,"tags=74%, list=26%, signal=55%","3569/3112/3695/3111/940/959/10673/23308/29851/115650/9020/958/3676/608/3118/3113/3601/3122/3119/941/23495/3127/3109/4055/6387/942/3115/3108/3117"
"hsa05152","Tuberculosis",159,0.359709327657355,1.77943723397668,3.1208904267786e-05,0.000270477170320812,0.00020047825143679,5204,"tags=50%, list=31%, signal=35%","3569/5993/11151/3112/4261/3111/1378/3716/4790/2033/7124/10892/5530/4843/816/54106/3929/3118/51561/3113/30835/4801/6850/10333/818/2215/3587/3592/6772/3122/972/1379/3458/5869/841/5601/843/8915/3459/3920/3119/7132/23545/5970/2214/836/7096/3717/1054/4360/3689/3127/3606/5534/51135/2207/3109/5532/3115/3108/3117/5600/5599/718/7097/929/3656/842/3552/317/817/3123/7040/10000/245972/54205/1594/1385/4046/5533"
"hsa04622","RIG-I-like receptor signaling pathway",54,0.50026472752959,2.06161061869413,8.60247605816743e-05,0.000709179733575754,0.000525645520370693,3126,"tags=44%, list=19%, signal=36%","54941/1540/4790/7124/8517/6885/29110/7187/9641/3627/1654/103/4792/3592/23586/841/5601/1147/843/7706/7186/55593/5970/9474"
"hsa05417","Lipid and atherosclerosis",186,0.331291633704319,1.67965764992218,8.59105496964809e-05,0.000709179733575754,0.000525645520370693,3695,"tags=37%, list=22%, signal=29%","5452/3569/3708/7412/959/3845/6774/4790/5908/653361/23118/7124/2081/4775/8743/5293/6403/6352/7409/8517/6885/4067/958/5530/23236/29110/4217/816/8797/114548/7187/6648/3929/9641/1536/5295/5451/10333/356/7494/9138/818/1573/4792/3592/841/5601/8795/1147/10451/19/948/7186/4312/7132/9619/5970/5468/4846/836/7410/3383/1543/3717/3309/6401/3606/5534"
"hsa00380","Tryptophan metabolism",37,0.54164693217272,2.07601369107281,0.000138746392328767,0.00111657810969341,0.000827610059504923,3337,"tags=46%, list=20%, signal=37%","883/3620/4129/217/847/15/259307/39/316/8564/1892/6999/11185/2639/8942/7166/1543"
"hsa04068","FoxO signaling pathway",121,0.365844800295117,1.74234221534556,0.000207177386213302,0.00162851061721154,0.00120705551820724,2817,"tags=30%, list=17%, signal=25%","1901/3569/8698/894/5934/116986/3575/847/3845/6774/6789/2033/3643/8743/5293/4193/23710/6648/1027/7048/10018/5295/356/901/2308/604/9456/2885/10365/10733/5601/3479/1147/5604/51422/5562"
"hsa05142","Chagas disease",96,0.391124950434459,1.77437339217204,0.000269500189361316,0.0020702514546392,0.00153447476239218,4893,"tags=51%, list=29%, signal=36%","5519/3569/917/916/919/915/4790/7124/5293/6352/8517/23236/4843/54106/7048/5295/10333/356/624/4792/3592/2778/2774/3458/841/5601/1147/8837/714/3459/7132/5970/713/1636/9630/51135/2770/2771/5600/712/5599/718/7097/5290/2775/3576/811/7040/10000"
"hsa04015","Rap1 signaling pathway",188,0.314122979936058,1.60402864956476,0.000363267377021823,0.0027285416318528,0.0020224008358174,2701,"tags=29%, list=16%, signal=24%","9771/111/51735/2324/9223/9002/83593/25865/56288/80310/2264/3683/6494/10636/51466/3845/5880/27040/5908/1902/8631/3643/7010/5293/3082/7409/1399/3791/2149/284/23236/51196/1942/5579/5295/9732/54518/3397/2533/5909/1436/7094/26037/2778/7424/57121/9693/3937/23094/113/10235/3479/5604/10451"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,-0.568861711028079,-1.90649200555182,0.000444206148522477,0.00326394952609994,0.00241924630087756,3954,"tags=66%, list=24%, signal=50%","8705/5279/80235/8818/51604/93210/84302/80055/27315/5281/94005/5283/8733/128869/51227/54872/9487/5277/9091"
