"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","present_in_evaluation","hl_estimate","hl_ci_lower","hl_ci_upper","reproducibility_p","median_responder","median_nonresponder","iqr_responder","iqr_nonresponder","mean_responder","mean_nonresponder","n_responder","n_nonresponder","reproducibility_padj","discovery_direction","reproducibility_direction","direction_consistent","reproducibility_support","weight"
"338094",66.1888100847435,4.04027694338994,0.788586450040092,3.61195028970467e-08,0.000291574687136409,"FAM151A","family with sequence similarity 151 member A",TRUE,0.118754850694799,-0.093876246663102,0.582557587758755,0.291366821340218,0.209346167460837,0.156243439987077,0.659473606016727,0.360345828926918,0.615750331108059,0.327086111516947,14,12,0.850630315632387,"Responder","Responder",TRUE,FALSE,1
"2811",108.482535358949,2.24186214738453,0.630837378980069,2.73340452185287e-05,0.0190548654954756,"GP1BA","glycoprotein Ib platelet subunit alpha",TRUE,0.104602824281524,-0.0995695523653219,0.349801855141444,0.341331680500692,0.412452811496219,0.232124538593799,0.373275441161504,0.315679342266648,0.664464229438777,0.359485345106259,14,12,0.850630315632387,"Responder","Responder",TRUE,FALSE,1
"6689",396.277757442974,3.40311417959142,0.888126376215615,1.22991910465961e-05,0.0110316910804052,"SPIB","Spi-B transcription factor",TRUE,0.213462498407992,-0.166327462906007,0.563941735037716,0.368065506305485,0.545873730861589,0.26420215769045,0.546668354875082,0.596191638837752,0.939551124052074,0.538841800431382,14,12,0.850630315632387,"Responder","Responder",TRUE,FALSE,1
"4753",474.976795077813,1.77827075121472,0.559870205152554,8.86699298184084e-05,0.0433810914217638,"NELL2","neural EGFL like 2",TRUE,0.3232045948652,-0.570361523421365,0.979262855783253,0.396065820708938,1.1103036058345,1.11010880038773,1.39204168535049,1.07639745213709,1.38026101406272,1.14697135639063,14,12,0.850630315632387,"Responder","Responder",TRUE,FALSE,1
"2208",133.470501080786,4.08950660828913,0.871118178048797,3.26159106752699e-07,0.000877639796420387,"FCER2","Fc epsilon receptor II",TRUE,0.024431923278388,-0.121139192711702,0.263507548207142,0.425315157816193,0.170022422678943,0.0975576690684911,0.609749986858651,0.414657188568538,0.780332747973424,0.264489476650925,14,12,0.850630315632387,"Responder","Responder",TRUE,FALSE,1
